,do,da,dz,recon_loss,act_mse,obs_mse
0,128,2,1,0.007766870316118002,0.575223982334137,1.0001556873321533
1,128,2,2,7.56083863961976e-07,0.01039240974932909,1.0003498792648315
2,128,2,3,1.4563347860985232e-07,0.001322361407801509,0.9996985197067261
3,128,2,4,8.692187414283126e-09,3.122357270513021e-07,1.0008982419967651
4,128,2,5,8.148198370368231e-13,9.833174274831435e-10,0.9997143149375916
5,128,2,6,1.005669245796037e-11,1.7000062468852661e-10,1.0002788305282593
6,128,2,7,1.3502999445576952e-13,5.175908746740676e-12,1.0003012418746948
7,128,2,8,1.7914957711751e-11,4.3698175633544167e-10,0.9998886585235596
8,128,2,9,3.242042702009118e-12,3.544334617466838e-11,1.000779628753662
9,128,2,10,3.0118159077829887e-09,1.1418649137340253e-07,1.000512957572937
10,128,2,11,2.1770214075900185e-08,3.72859176422935e-07,1.0003650188446045
11,128,2,12,1.4665291203641573e-10,4.194903091558899e-09,0.9998210072517395
12,128,2,13,4.4352563288718727e-10,8.065888401631582e-09,1.0001869201660156
13,128,2,14,3.0558602870378593e-10,2.6897759575206237e-09,0.9998546838760376
14,128,2,15,5.365534128110028e-10,1.3436403101252381e-08,1.000414490699768
15,128,2,16,1.8776367127770754e-09,2.6771703076633457e-08,0.999783456325531
16,128,4,1,0.023371318355202675,0.7671401500701904,1.0001766681671143
17,128,4,2,0.015666596591472626,0.5078315138816833,0.9997317790985107
18,128,4,3,0.007824770174920559,0.2555508315563202,1.000480055809021
19,128,4,4,7.153413278393472e-12,0.0001707686751615256,0.9996912479400635
20,128,4,5,0.00012725827400572598,0.0023576021194458008,0.9977195858955383
21,128,4,6,1.0452334890942439e-06,2.244698589493055e-05,1.0001341104507446
22,128,4,7,0.0002926129673141986,0.0012088065268471837,0.993782103061676
23,128,4,8,3.081421923178951e-11,4.917155571604326e-10,0.9997159242630005
24,128,4,9,7.426167680790741e-09,8.441058696462278e-08,1.000718593597412
25,128,4,10,4.780759343958607e-09,5.2607020961659146e-08,1.0005176067352295
26,128,4,11,6.856677714495163e-08,4.0385742750004283e-07,1.000805377960205
27,128,4,12,1.2735093535276576e-10,2.0229731223508907e-09,1.0001219511032104
28,128,4,13,1.1872997447426314e-06,2.1474819732247852e-05,1.0004690885543823
29,128,4,14,2.6890083404396137e-07,2.794770807668101e-06,0.9996394515037537
30,128,4,15,1.0536036825214978e-05,0.00018263190577272326,1.0001800060272217
31,128,4,16,1.0586395760014966e-08,1.2558714956867334e-07,1.0006263256072998
32,128,6,1,0.03891850262880325,0.8333651224772135,1.0000412464141846
33,128,6,2,0.03133191168308258,0.6703153451283773,1.0003448724746704
34,128,6,3,0.023442216217517853,0.5010885794957479,1.0001543760299683
35,128,6,4,0.015690170228481293,0.33493884404500324,1.000562310218811
36,128,6,5,0.007915438152849674,0.16883246103922525,0.9995971322059631
37,128,6,6,0.00012047130439896137,0.002537560649216175,1.0005760192871094
38,128,6,7,8.165898890410972e-08,2.141592176485574e-06,1.0000821352005005
39,128,6,8,3.851680048683193e-06,4.66221342018495e-05,0.9998235106468201
40,128,6,9,4.3937939397942216e-10,7.108618878722457e-09,0.9998054504394531
41,128,6,10,9.59984203241504e-10,7.085594333489098e-09,0.9996861815452576
42,128,6,11,2.1773258751522917e-09,2.5354180384814146e-08,1.0003705024719238
43,128,6,12,2.9692486691601516e-08,3.8571503561494563e-07,0.9998869299888611
44,128,6,13,9.434770618099719e-05,0.0005652408969278137,0.996869683265686
