,do,da,dz,db,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,2,1,1,0,1.583275318145752,0.8356951475143433,0.0040525877848267555,1.0
1,128,2,1,1,1000,0.07444176822900772,0.5105684995651245,0.009329002350568771,1.0
2,128,2,1,1,2000,0.016017066314816475,0.49865788221359253,0.72093266248703,1.0
3,128,2,1,1,3000,0.015653137117624283,0.5037086009979248,0.9598729014396667,1.0
4,128,2,1,1,4000,0.015201006084680557,0.5032610297203064,0.950965940952301,1.0
5,128,2,1,1,5000,0.013899100013077259,0.5048578381538391,0.943739116191864,1.0
6,128,2,2,1,0,1.550209641456604,0.9172200560569763,0.001503271283581853,1.0
7,128,2,2,1,1000,0.06270470470190048,0.43804284930229187,0.021988149732351303,1.0
8,128,2,2,1,2000,0.015248306095600128,0.12366733700037003,0.7949749231338501,1.0
9,128,2,2,1,3000,0.01420416496694088,0.0008263247436843812,0.9598488807678223,1.0
10,128,2,2,1,4000,0.012227153405547142,0.0010836736764758825,0.9499655365943909,1.0
11,128,2,2,1,5000,0.00964246317744255,0.09530659019947052,0.9465796947479248,1.0
12,128,2,3,1,0,1.55657160282135,0.9755682945251465,0.0005329603445716202,1.0
13,128,2,3,1,1000,0.048819806426763535,0.002118808915838599,0.03838447108864784,1.0
14,128,2,3,1,2000,0.014020673930644989,3.2299667509505525e-05,0.8706406950950623,1.0
15,128,2,3,1,3000,0.01144270971417427,2.2624222765443847e-05,0.9456593990325928,1.0
16,128,2,3,1,4000,0.006358633283525705,2.2705171431880444e-05,0.9217520356178284,1.0
17,128,2,3,1,5000,0.0015729749575257301,0.0009688186692073941,0.9375882744789124,1.0
18,128,2,4,1,0,1.5638556480407715,0.9553235769271851,0.00111264584120363,1.0
19,128,2,4,1,1000,0.04147818312048912,0.000543806585483253,0.057155437767505646,1.0
20,128,2,4,1,2000,0.011139906942844391,1.191894079966005e-05,0.8870275616645813,1.0
21,128,2,4,1,3000,0.006134239491075277,7.531496066803811e-06,0.925045371055603,1.0
22,128,2,4,1,4000,0.0015175099251791835,1.4599009773519356e-05,0.9335338473320007,1.0
23,128,2,4,1,5000,0.0001801217149477452,0.00035162674612365663,0.9688323140144348,1.0
24,128,2,5,1,0,1.5484360456466675,0.8064615726470947,0.004640078637748957,1.0
25,128,2,5,1,1000,0.03378411754965782,0.0006341461557894945,0.08423077315092087,1.0
26,128,2,5,1,2000,0.011584297753870487,4.512165469350293e-05,0.9235859513282776,1.0
27,128,2,5,1,3000,0.005816894583404064,1.2624732335098088e-05,0.9216891527175903,1.0
28,128,2,5,1,4000,0.0010718932608142495,9.609933840692975e-06,0.9399007558822632,1.0
29,128,2,5,1,5000,7.679988630115986e-05,0.000114978123747278,0.980255126953125,1.0
30,128,2,6,1,0,1.550346851348877,0.82747882604599,0.003058279398828745,1.0
31,128,2,6,1,1000,0.02958580106496811,0.0005479395040310919,0.1149468645453453,1.0
32,128,2,6,1,2000,0.010138125158846378,2.152102933905553e-05,0.923799991607666,1.0
33,128,2,6,1,3000,0.004202897194772959,1.0102338819706347e-05,0.9274193048477173,1.0
34,128,2,6,1,4000,0.0004744512843899429,8.091636118479073e-06,0.9565171599388123,1.0
35,128,2,6,1,5000,4.256764441379346e-05,0.0003098831803072244,0.9799025654792786,1.0
36,128,2,7,1,0,1.5784473419189453,0.902819037437439,0.002265995368361473,1.0
37,128,2,7,1,1000,0.024845676496624947,0.00035547511652112007,0.13884657621383667,1.0
38,128,2,7,1,2000,0.007745709270238876,1.7663229300524108e-05,0.9291518926620483,1.0
39,128,2,7,1,3000,0.001694684848189354,2.1515045318665216e-06,0.9313717484474182,1.0
40,128,2,7,1,4000,8.77867714734748e-05,4.5308138396649156e-07,0.976807713508606,1.0
41,128,2,7,1,5000,4.989984881831333e-05,0.00013360493176151067,0.9821714758872986,1.0
42,128,2,8,1,0,1.5771387815475464,0.8340499997138977,0.0029289331287145615,1.0
43,128,2,8,1,1000,0.02226443774998188,0.00044047448318451643,0.17156244814395905,1.0
