,do,da,dz,sigma,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,2,2,0.0,0,0.23260706663131714,0.9838181734085083,0.9841570854187012,1.0
1,128,2,2,0.0,1000,0.013151963241398335,0.5696215033531189,1.0001214742660522,1.0
2,128,2,2,0.0,2000,0.004639461170881987,0.005111514125019312,1.0005244016647339,1.0
3,128,2,2,0.0,3000,0.00017760337505023926,2.0306843850903533e-07,1.000092625617981,1.0
4,128,2,2,0.0,4000,4.19389522221536e-07,6.79244105405985e-10,0.999927818775177,1.0
5,128,2,2,0.0,5000,3.0992829636034e-08,2.090118869091384e-06,0.9997507929801941,1.0
6,128,2,2,0.0,6000,3.456568083493039e-05,0.0021957980934530497,1.0004984140396118,1.0
7,128,2,2,0.0,7000,4.418808384798467e-05,0.0028246822766959667,0.9994493722915649,1.0
8,128,2,2,0.0,8000,5.676865475834347e-05,0.0035617693793028593,1.0007483959197998,1.0
9,128,2,2,0.0,9000,2.0070745449629612e-05,0.0012814297806471586,1.0000107288360596,1.0
10,128,2,2,0.0,10000,5.044549652666319e-06,0.00032249439391307533,1.0005409717559814,1.0
11,128,2,2,0.0,11000,2.175663439629716e-06,0.00013796408893540502,0.9999307990074158,1.0
12,128,2,2,0.0,12000,2.757441052381182e-06,0.00017430508160032332,0.999668300151825,1.0
13,128,2,2,0.0,13000,1.2904765753773972e-06,8.154295210260898e-05,1.0008331537246704,1.0
14,128,2,2,0.0,14000,3.4061923770423164e-07,2.154215871996712e-05,1.0001038312911987,1.0
15,128,2,2,0.0,15000,9.5148578793669e-08,5.921688170928974e-06,1.0003689527511597,1.0
16,128,2,2,0.0,16000,8.525447583451751e-07,5.4222768085310236e-05,0.9997193813323975,1.0
17,128,2,2,0.0,17000,4.834941137232818e-06,0.00030550832161679864,1.00058114528656,1.0
18,128,2,2,0.0,18000,3.1952424706105376e-06,0.00020527465676423162,0.9999831318855286,1.0
19,128,2,2,0.0,19000,7.882817953941412e-07,5.055147994426079e-05,1.0005439519882202,1.0
20,128,2,2,0.0,20000,1.4005903494762606e-06,8.639393490739167e-05,1.0012086629867554,1.0
21,128,2,2,0.0,21000,3.3096700917667476e-06,0.00020818821212742478,1.00007963180542,1.0
22,128,2,2,0.0,22000,1.8961892465085839e-06,0.00011299214384052902,1.000242829322815,1.0
23,128,2,2,0.0,23000,9.678570904725348e-07,5.941033305134624e-05,0.9994224309921265,1.0
24,128,2,2,0.0,24000,8.978774417300883e-07,5.076329398434609e-05,1.0007346868515015,1.0
25,128,2,2,0.0,25000,1.4087256658967817e-06,8.861228707246482e-05,0.99993497133255,1.0
26,128,2,2,0.0,26000,1.478515855524165e-06,9.388857870362699e-05,0.9993516206741333,1.0
27,128,2,2,0.0,27000,5.183882876735879e-06,0.00031488819513469934,1.0003857612609863,1.0
28,128,2,2,0.0,28000,2.840077513610595e-06,0.00017933214257936925,1.0006248950958252,1.0
29,128,2,2,0.0,29000,3.1415888770425227e-06,0.0001868724066298455,0.9995278120040894,1.0
30,128,2,2,0.0,30000,3.3514597816974856e-06,0.00020982460409868509,1.0001834630966187,1.0
31,128,2,2,0.0,31000,1.8829708778866916e-06,0.00011958653340116143,1.0002390146255493,1.0
32,128,2,2,0.0,32000,1.3606062339022174e-06,8.46629700390622e-05,1.0005978345870972,1.0
33,128,2,2,0.0,33000,1.229521217283036e-06,7.675532106077299e-05,0.9996833801269531,1.0
34,128,2,2,0.0,34000,2.3748871171846986e-06,0.00014720644685439765,0.9998371005058289,1.0
35,128,2,2,0.0,35000,1.1240697403991362e-06,6.961244798731059e-05,1.00002920627594,1.0
36,128,2,2,0.0,36000,6.823711373726837e-07,4.14511923736427e-05,1.0002461671829224,1.0
37,128,2,2,0.0,37000,1.449094838790188e-06,9.006618347484618e-05,1.0000609159469604,1.0
38,128,2,2,0.0,38000,1.3146504898031708e-06,7.823988562449813e-05,0.9998315572738647,1.0
39,128,2,2,0.0,39000,7.32903345124214e-07,4.579285086947493e-05,0.9995197653770447,1.0
40,128,2,2,0.0,40000,7.968220643306267e-07,4.7655652451794595e-05,1.000156283378601,1.0
41,128,4,4,0.0,0,0.2849540710449219,0.9815664291381836,0.9689205288887024,1.0
42,128,4,4,0.0,1000,0.011941598728299141,0.014742551371455193,1.0000470876693726,1.0
43,128,4,4,0.0,2000,7.130912854336202e-05,1.3341619364837243e-07,1.0000131130218506,1.0
44,128,4,4,0.0,3000,1.1016602741165116e-08,2.0762188843170826e-11,1.0003944635391235,1.0
45,128,4,4,0.0,4000,1.2669764326220245e-13,6.762458371056823e-10,0.9995913505554199,1.0
46,128,4,4,0.0,5000,1.637847301359796e-12,5.186051588168539e-10,1.0003036260604858,1.0
47,128,4,4,0.0,6000,4.667532138569186e-08,1.5235134469548939e-06,0.9996281862258911,1.0
48,128,4,4,0.0,7000,1.7999323972617276e-05,0.0005679201567545533,0.9996368885040283,1.0
49,128,4,4,0.0,8000,1.2772781701642089e-05,0.00040259023080579937,0.9998420476913452,1.0
50,128,4,4,0.0,9000,1.58701714099152e-05,0.0004961593076586723,1.0005654096603394,1.0
51,128,4,4,0.0,10000,1.771286224538926e-05,0.000561812543310225,0.9993094801902771,1.0
52,128,4,4,0.0,11000,1.2601712114701513e-05,0.00039224314969033003,1.000717043876648,1.0
53,128,4,4,0.0,12000,3.7727784274466103e-06,0.00011664733028737828,1.0005178451538086,1.0
54,128,4,4,0.0,13000,4.713165253633633e-06,0.0001465395325794816,0.9996291995048523,1.0
55,128,4,4,0.0,14000,1.083206916518975e-05,0.00033403895213268697,1.0000317096710205,1.0
56,128,4,4,0.0,15000,7.317652489291504e-06,0.00022752383665647358,1.000480055809021,1.0
57,128,4,4,0.0,16000,6.039841082383646e-06,0.00018769648158922791,0.9999740123748779,1.0
58,128,4,4,0.0,17000,4.1795155993895605e-06,0.0001250270870514214,0.9998254776000977,1.0
59,128,4,4,0.0,18000,4.361384071671637e-06,0.0001341713359579444,1.0000128746032715,1.0
60,128,4,4,0.0,19000,5.871781013411237e-06,0.00017889391165226698,1.0005072355270386,1.0
61,128,4,4,0.0,20000,3.3467140383436345e-06,0.00010507393017178401,1.0002230405807495,1.0
62,128,4,4,0.0,21000,2.7427049644757062e-06,8.564403833588585e-05,0.9995445609092712,1.0
63,128,4,4,0.0,22000,4.363303105492378e-06,0.00013092538574710488,0.9993888139724731,1.0
64,128,4,4,0.0,23000,2.0300694814068265e-06,6.224631943041459e-05,1.0011813640594482,1.0
65,128,4,4,0.0,24000,1.5615731854268233e-06,4.345814886619337e-05,1.0002340078353882,1.0
66,128,4,4,0.0,25000,2.899809715017909e-06,8.78794671734795e-05,1.0006608963012695,1.0
67,128,4,4,0.0,26000,4.137766154599376e-06,0.00011627544154180214,1.0004128217697144,1.0
68,128,4,4,0.0,27000,2.217662540715537e-06,6.90709421178326e-05,1.0001819133758545,1.0
69,128,4,4,0.0,28000,1.823166485337424e-06,5.4648800869472325e-05,0.9999560713768005,1.0
70,128,4,4,0.0,29000,1.1642573554127011e-06,3.6449193430598825e-05,0.99985671043396,1.0
71,128,4,4,0.0,30000,1.7641532394918613e-06,5.475953730638139e-05,1.0001277923583984,1.0
72,128,4,4,0.0,31000,1.0725195807026466e-06,3.3220032491954044e-05,1.0007545948028564,1.0
73,128,4,4,0.0,32000,2.7267428777122404e-06,7.547160930698738e-05,1.0005512237548828,1.0
74,128,4,4,0.0,33000,3.21092579724791e-06,9.969549864763394e-05,1.0001357793807983,1.0
75,128,4,4,0.0,34000,2.019566181843402e-06,6.243091775104403e-05,1.0002422332763672,1.0
76,128,4,4,0.0,35000,7.593898203595018e-07,2.3032516764942557e-05,1.000075340270996,1.0
77,128,4,4,0.0,36000,1.3381272765400354e-06,4.008362884633243e-05,0.9996697902679443,1.0
78,128,4,4,0.0,37000,1.6304030623359722e-06,4.82379000459332e-05,1.0005472898483276,1.0
79,128,4,4,0.0,38000,2.5469839783909265e-06,7.718036795267835e-05,1.0000394582748413,1.0
80,128,4,4,0.0,39000,1.0271995734001393e-06,3.103101335000247e-05,0.9994984865188599,1.0
81,128,4,4,0.0,40000,1.587895098964509e-06,4.475432069739327e-05,0.9996978044509888,1.0
82,128,6,6,0.0,0,0.2620493173599243,0.9736074606577555,0.9547271132469177,1.0
83,128,6,6,0.0,1000,0.0039742011576890945,0.00015210884157568216,0.9995357990264893,1.0
84,128,6,6,0.0,2000,5.738278332501068e-07,1.751324122759949e-09,1.0000026226043701,1.0
85,128,6,6,0.0,3000,9.214548611982676e-13,1.823588661441685e-13,0.9994863867759705,1.0
86,128,6,6,0.0,4000,5.232263800285415e-14,2.60153439531526e-09,1.0002374649047852,1.0
87,128,6,6,0.0,5000,3.1889414913166547e-06,6.791252720480163e-05,1.0001449584960938,1.0
88,128,6,6,0.0,6000,1.0460989869898185e-05,0.0002192145329900086,1.000754952430725,1.0
89,128,6,6,0.0,7000,1.9333518139319494e-05,0.000405303668230772,0.9999821782112122,1.0
90,128,6,6,0.0,8000,7.431302037730347e-06,0.00015655288977238038,1.0003721714019775,1.0
91,128,6,6,0.0,9000,1.3442796443996485e-05,0.00028463210522507626,1.0000882148742676,1.0
92,128,6,6,0.0,10000,6.6662137214734685e-06,0.00013902543772322437,1.0003068447113037,1.0
93,128,6,6,0.0,11000,7.350387022597715e-06,0.0001534957361097137,1.0003330707550049,1.0
94,128,6,6,0.0,12000,8.656061254441738e-06,0.00017981964629143476,1.0007288455963135,1.0
95,128,6,6,0.0,13000,9.418929039384238e-06,0.00018933956744149327,1.000786304473877,1.0
96,128,6,6,0.0,14000,7.370499588432722e-06,0.00014976656530052423,1.000342845916748,1.0
97,128,6,6,0.0,15000,4.437223651621025e-06,9.328377200290561e-05,1.0008889436721802,1.0
98,128,6,6,0.0,16000,8.79180970514426e-06,0.00017277306566635767,0.9998847842216492,1.0
99,128,6,6,0.0,17000,6.566309366462519e-06,0.00013249455757128695,1.0000901222229004,1.0
100,128,6,6,0.0,18000,8.17815543996403e-06,0.00016380650534604987,1.0003820657730103,1.0
101,128,6,6,0.0,19000,7.803075277479365e-06,0.00015545374481007457,1.0003149509429932,1.0
102,128,6,6,0.0,20000,4.463618552108528e-06,9.075321334724624e-05,1.0002961158752441,1.0
103,128,6,6,0.0,21000,6.519800535897957e-06,0.00011772937917460997,1.00044846534729,1.0
104,128,6,6,0.0,22000,6.6913949012814555e-06,0.00013542450809230408,1.0001540184020996,1.0
105,128,6,6,0.0,23000,6.770061645511305e-06,0.00013231915848640105,1.0004725456237793,1.0
106,128,6,6,0.0,24000,5.569602762989234e-06,0.00011516310041770339,1.0002775192260742,1.0
107,128,6,6,0.0,25000,4.877932951785624e-06,9.88045649137348e-05,0.9997504949569702,1.0
108,128,6,6,0.0,26000,2.6779666768561583e-06,5.332751607056707e-05,1.0002686977386475,1.0
109,128,6,6,0.0,27000,2.5142962840618566e-06,4.9459258055624865e-05,1.000252366065979,1.0
110,128,6,6,0.0,28000,4.422456640895689e-06,8.477040682919323e-05,0.9999341368675232,1.0
111,128,6,6,0.0,29000,3.256186346334289e-06,6.282198592089117e-05,0.9997329711914062,1.0
112,128,6,6,0.0,30000,3.4577014957903884e-06,7.016415474936366e-05,1.000131368637085,1.0
113,128,6,6,0.0,31000,2.0655349999287864e-06,4.0000362787395716e-05,1.0006213188171387,1.0
114,128,6,6,0.0,32000,2.806018073897576e-06,5.524024891201407e-05,0.9996987581253052,1.0
115,128,6,6,0.0,33000,2.861239408957772e-06,5.4767850087955594e-05,1.0004569292068481,1.0
116,128,6,6,0.0,34000,3.877380549965892e-06,7.518112640051793e-05,1.0004736185073853,1.0
117,128,6,6,0.0,35000,3.904548975697253e-06,7.627386852012326e-05,1.0002399682998657,1.0
118,128,6,6,0.0,36000,2.8256649784452748e-06,5.7476795821761094e-05,0.9993208050727844,1.0
119,128,6,6,0.0,37000,1.4422806771108299e-06,2.8558759368024766e-05,1.0009448528289795,1.0
120,128,6,6,0.0,38000,2.6976424578606384e-06,5.243389265766988e-05,1.0000383853912354,1.0
121,128,6,6,0.0,39000,2.9118850761733484e-06,5.4849874383459486e-05,1.0001046657562256,1.0
122,128,6,6,0.0,40000,2.6790949050337076e-06,5.311972442238281e-05,1.0005581378936768,1.0
123,128,8,8,0.0,0,0.2778368890285492,0.9669338464736938,0.9396690726280212,1.0
124,128,8,8,0.0,1000,0.0001856290182331577,2.095792524414719e-06,0.9995750784873962,1.0
125,128,8,8,0.0,2000,2.970237389376962e-10,3.3356156378672175e-12,0.9995009303092957,1.0
126,128,8,8,0.0,3000,7.837482697342288e-14,1.46068392299116e-13,1.000435709953308,1.0
127,128,8,8,0.0,4000,4.2679682894395873e-14,1.1793956922190318e-08,0.9996894598007202,1.0
128,128,8,8,0.0,5000,9.409514944991315e-09,1.8187436978678306e-07,1.0004591941833496,1.0
129,128,8,8,0.0,6000,2.1914793251198716e-06,3.4343203878961504e-05,1.0002808570861816,1.0
130,128,8,8,0.0,7000,9.723977200337686e-06,0.00014847943384665996,1.0002585649490356,1.0
131,128,8,8,0.0,8000,1.7368993212585337e-05,0.0002598542196210474,0.9989997744560242,1.0
132,128,8,8,0.0,9000,1.0661170563253108e-05,0.0001631445629755035,1.0001823902130127,1.0
133,128,8,8,0.0,10000,1.1781420653278474e-05,0.00017639639554545283,1.000465989112854,1.0
134,128,8,8,0.0,11000,1.0780197044368833e-05,0.0001644974690862,0.9994065761566162,1.0
135,128,8,8,0.0,12000,8.91881063580513e-06,0.00013438411406241357,0.9998379945755005,1.0
136,128,8,8,0.0,13000,8.736341442272533e-06,0.00012971911928616464,1.0011723041534424,1.0
137,128,8,8,0.0,14000,7.244066182465758e-06,0.00010735297837527469,1.00016188621521,1.0
138,128,8,8,0.0,15000,5.463826255436288e-06,8.25579627417028e-05,1.0000205039978027,1.0
139,128,8,8,0.0,16000,9.913194844557438e-06,0.00014467767323367298,1.000139832496643,1.0
140,128,8,8,0.0,17000,6.67842368784477e-06,9.786187001736835e-05,0.9997926354408264,1.0
141,128,8,8,0.0,18000,5.88150396652054e-06,8.683129999553785e-05,1.0007599592208862,1.0
142,128,8,8,0.0,19000,3.2495486266270746e-06,4.9327631131745875e-05,1.0009188652038574,1.0
143,128,8,8,0.0,20000,5.24262077306048e-06,7.769656804157421e-05,0.9992600083351135,1.0
