,do,da,dz,sigma,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,2,2,1.1,0,0.2160661369562149,0.9973272681236267,0.9871359467506409,1.0038109850292363
1,128,2,2,1.1,1000,0.014702538028359413,0.9174225926399231,1.0003743171691895,1.0001504716794352
2,128,2,2,1.1,2000,0.009546813555061817,0.5895403623580933,0.9997349381446838,1.003100261215336
3,128,2,2,1.1,3000,0.0018015193054452538,0.336149662733078,1.0003494024276733,1.0040223105879853
4,128,2,2,1.1,4000,0.00016413723642472178,0.29997530579566956,1.000504970550537,1.004195508878093
5,128,2,2,1.1,5000,3.4432603570166975e-05,0.30010104179382324,0.9996175169944763,1.0039902915639325
6,128,2,2,1.1,6000,5.8090590755455196e-05,0.3026043176651001,0.9999606013298035,1.0038507871391358
7,128,2,2,1.1,7000,6.709068838972598e-05,0.29947131872177124,0.9991421699523926,1.0040126556207325
8,128,2,2,1.1,8000,6.238320202101022e-05,0.2998884618282318,0.999685525894165,1.0030533656601077
9,128,2,2,1.1,9000,6.812537321820855e-05,0.3030901849269867,1.0001535415649414,1.0041590564507097
10,128,2,2,1.1,10000,7.544897380284965e-05,0.30251139402389526,0.9999041557312012,1.0040180742248028
11,128,2,1,1.1,0,0.2609266936779022,0.9985767006874084,0.9935372471809387,1.0018442287917964
12,128,2,1,1.1,1000,0.015126198530197144,0.9522870182991028,1.0000057220458984,1.0002734247317981
13,128,2,1,1.1,2000,0.014284214936196804,0.8821787238121033,0.9993598461151123,1.0015456144474753
14,128,2,1,1.1,3000,0.01183724869042635,0.7562543153762817,1.0005894899368286,1.0018616668448959
15,128,2,1,1.1,4000,0.00921486597508192,0.6769850850105286,0.9998048543930054,1.0015233489107493
16,128,2,1,1.1,5000,0.008106724359095097,0.6541153788566589,0.9992311000823975,1.0018225543755144
17,128,2,1,1.1,6000,0.007832205854356289,0.6488566398620605,0.999843180179596,1.001842652470612
18,128,2,1,1.1,7000,0.007822202518582344,0.6497825980186462,1.0007952451705933,1.0020989031831093
19,128,2,1,1.1,8000,0.007883196696639061,0.6522321701049805,1.0001561641693115,1.001805805962933
20,128,2,1,1.1,9000,0.007901158183813095,0.6539149284362793,1.0003442764282227,1.001651326486887
21,128,2,1,1.1,10000,0.007901763543486595,0.65381920337677,1.0004388093948364,1.001819106172924
22,128,2,3,1.1,0,0.23481322824954987,0.9872838258743286,0.9794551730155945,1.0053198199626827
23,128,2,3,1.1,1000,0.012884017080068588,0.7936393022537231,0.9996786117553711,1.002006294313541
24,128,2,3,1.1,2000,0.00432449160143733,0.41080421209335327,0.9994521737098694,1.0039165000284997
25,128,2,3,1.1,3000,0.0002717218885663897,0.30668801069259644,1.0002124309539795,1.0037450750997243
26,128,2,3,1.1,4000,4.398809323902242e-05,0.29932352900505066,0.9997751712799072,1.0035084298819548
