,do,da,dz,sigma,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,4,0.0,0,0.2906700372695923,0.9835668802261353,0.9700702428817749,1.0
1,128,8,4,0.0,1000,0.034816719591617584,0.5007587671279907,1.0004998445510864,1.0
2,128,8,4,0.0,2000,0.031203120946884155,0.49888524413108826,1.0004494190216064,1.0
3,128,8,4,0.0,3000,0.03129594773054123,0.5007818937301636,1.0001468658447266,1.0
4,128,8,4,0.0,4000,0.03119775466620922,0.49923110008239746,1.000420331954956,1.0
5,128,8,4,0.0,5000,0.031324438750743866,0.5012196898460388,0.9993053078651428,1.0
6,128,8,4,0.0,6000,0.031347520649433136,0.5016378164291382,1.0002764463424683,1.0
7,128,8,4,0.0,7000,0.03120049275457859,0.4992319643497467,0.9995859265327454,1.0
8,128,8,4,0.0,8000,0.03125771880149841,0.5001317262649536,0.9997364282608032,1.0
9,128,8,4,0.0,9000,0.03129067271947861,0.5006856918334961,1.0002354383468628,1.0
10,128,8,4,0.0,10000,0.03139050677418709,0.5022312998771667,1.0002515316009521,1.0
11,128,8,6,0.0,0,0.28152143955230713,0.976656973361969,0.9544962644577026,1.0
12,128,8,6,0.0,1000,0.01680041290819645,0.2503158152103424,0.9999155402183533,1.0
13,128,8,6,0.0,2000,0.015688559040427208,0.25102463364601135,1.0006219148635864,1.0
14,128,8,6,0.0,3000,0.015597455203533173,0.24963925778865814,0.9997991919517517,1.0
15,128,8,6,0.0,4000,0.015617961063981056,0.24991197884082794,1.0001426935195923,1.0
16,128,8,6,0.0,5000,0.01564156264066696,0.2502698302268982,1.0003612041473389,1.0
17,128,8,6,0.0,6000,0.01564856246113777,0.2503456175327301,0.9990349411964417,1.0
18,128,8,6,0.0,7000,0.01557397935539484,0.24924984574317932,0.999615490436554,1.0
19,128,8,6,0.0,8000,0.015751082450151443,0.25203272700309753,1.0002235174179077,1.0
20,128,8,6,0.0,9000,0.015658630058169365,0.2505711019039154,1.0003995895385742,1.0
21,128,8,6,0.0,10000,0.01563262566924095,0.2501924932003021,0.9998718500137329,1.0
22,128,8,8,0.0,0,0.2740107774734497,0.9666497111320496,0.9397264122962952,1.0
23,128,8,8,0.0,1000,0.0005360027425922453,4.1384250835108105e-06,1.000437617301941,1.0
24,128,8,8,0.0,2000,8.228039916069463e-10,3.889949560381689e-12,0.9995818138122559,1.0
25,128,8,8,0.0,3000,7.041209385298328e-14,1.6228752825094006e-13,1.000606894493103,1.0
26,128,8,8,0.0,4000,4.3898858072960456e-14,6.907442617887227e-09,1.0000481605529785,1.0
27,128,8,8,0.0,5000,1.2957430044480134e-06,2.077867065963801e-05,1.0006086826324463,1.0
28,128,8,8,0.0,6000,2.6775082915264647e-06,4.228683974361047e-05,0.999714195728302,1.0
29,128,8,8,0.0,7000,6.717558335367357e-06,0.00010586473217699677,1.0006096363067627,1.0
30,128,8,8,0.0,8000,7.886867933848407e-06,0.00012308974692132324,0.9996070265769958,1.0
31,128,8,8,0.0,9000,1.4876492969051469e-05,0.0002261577028548345,1.0004509687423706,1.0
32,128,8,8,0.0,10000,1.4810018910793588e-05,0.0002242151676909998,1.0005731582641602,1.0
33,128,8,10,0.0,0,0.2906479239463806,0.9628041982650757,0.9250038266181946,1.0
34,128,8,10,0.0,1000,8.355350473721046e-06,9.414537061047668e-08,1.0004913806915283,1.0
35,128,8,10,0.0,2000,8.821783093523189e-14,1.1730385814177208e-13,1.0001497268676758,1.0
36,128,8,10,0.0,3000,3.744356238369502e-14,1.772885495094495e-13,1.0001981258392334,1.0
37,128,8,10,0.0,4000,4.4210339192720174e-14,2.4453274960478666e-09,0.9994749426841736,1.0
38,128,8,10,0.0,5000,0.0001124367699958384,0.00033130691736005247,0.9974825978279114,1.0
39,128,8,10,0.0,6000,2.3496217181673273e-05,0.000264957663603127,1.0004667043685913,1.0
40,128,8,10,0.0,7000,1.3372969988267869e-05,0.00014624882896896452,0.9997334480285645,1.0
41,128,8,10,0.0,8000,1.131132012233138e-05,0.000130933040054515,1.0006197690963745,1.0
42,128,8,10,0.0,9000,7.573703442176338e-06,0.00010793480760185048,0.9996103048324585,1.0
43,128,8,10,0.0,10000,9.107016012421809e-06,0.00011662668111966923,1.0003143548965454,1.0
44,128,8,12,0.0,0,0.27821964025497437,0.9594695568084717,0.9096981287002563,1.0
45,128,8,12,0.0,1000,1.7358658510602254e-08,1.9591636646332233e-10,0.9996161460876465,1.0
46,128,8,12,0.0,2000,4.3113943133926e-14,8.876735880635617e-14,1.0006541013717651,1.0
47,128,8,12,0.0,3000,2.36202743697728e-14,1.765706179358839e-13,1.0004770755767822,1.0
48,128,8,12,0.0,4000,3.5999970907953094e-14,4.327506797352498e-09,1.0006285905838013,1.0
