,do,da,dz,sigma,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,0.0,0,1.6082665920257568,0.9255177974700928,0.9853892922401428,1.0
1,128,8,2,0.0,1000,0.10826417803764343,0.7510076761245728,0.9846221208572388,1.0
2,128,8,2,0.0,2000,0.060347553342580795,0.7468274831771851,0.9853774309158325,1.0
3,128,8,2,0.0,3000,0.0585019588470459,0.7524141669273376,0.9840745329856873,1.0
4,128,8,2,0.0,4000,0.055384282022714615,0.7513454556465149,0.9844690561294556,1.0
5,128,8,2,0.0,5000,0.052078697830438614,0.7518872022628784,0.9847740530967712,1.0
6,128,8,2,0.0,6000,0.05000166594982147,0.7528576850891113,0.9854525923728943,1.0
7,128,8,2,0.0,7000,0.048877667635679245,0.7521833777427673,0.9846590757369995,1.0
8,128,8,2,0.0,8000,0.048423588275909424,0.752526044845581,0.9848521947860718,1.0
9,128,8,2,0.0,9000,0.04830865189433098,0.7526198625564575,0.9850674271583557,1.0
10,128,8,2,0.0,10000,0.048072271049022675,0.7507128119468689,0.9848036170005798,1.0
11,128,8,4,0.0,0,1.5899406671524048,0.885737419128418,0.9693533778190613,1.0
12,128,8,4,0.0,1000,0.08807427436113358,0.5054807662963867,0.969444751739502,1.0
13,128,8,4,0.0,2000,0.05568653345108032,0.4989525079727173,0.9699319005012512,1.0
14,128,8,4,0.0,3000,0.04973868653178215,0.5002423524856567,0.969366729259491,1.0
15,128,8,4,0.0,4000,0.042928583920001984,0.5009557008743286,0.9697637557983398,1.0
16,128,8,4,0.0,5000,0.03806697949767113,0.5020486116409302,0.9697245955467224,1.0
17,128,8,4,0.0,6000,0.03433946520090103,0.5004088282585144,0.9703435301780701,1.0
18,128,8,4,0.0,7000,0.03277368098497391,0.5007662177085876,0.9700168967247009,1.0
