,do,da,dz,db,sigma,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.5,0,0.23660114407539368,0.9451195597648621,0.9830313920974731,0.06751345098018646
1,128,8,2,8,0.5,1000,0.0647759810090065,0.6900762915611267,0.9931631088256836,0.06636250019073486
2,128,8,2,8,0.5,2000,0.06588252633810043,0.8128159046173096,1.0021005868911743,0.06116863340139389
3,128,8,2,8,0.5,3000,0.06576809287071228,0.8139420747756958,1.0002561807632446,0.060824327170848846
4,128,8,2,8,0.5,4000,0.059432968497276306,0.7053209543228149,0.9915379881858826,0.0646115392446518
5,128,8,2,8,0.5,5000,0.06264422833919525,0.7560800313949585,0.9900542497634888,0.062444645911455154
6,128,8,2,8,0.5,6000,0.0620383694767952,0.7425855994224548,0.992023229598999,0.06666304171085358
7,128,8,2,8,0.5,7000,0.06468790769577026,0.8122197389602661,1.0160815715789795,0.060657016932964325
8,128,8,2,8,0.5,8000,0.0597081258893013,0.7240644097328186,1.0265189409255981,0.06264040619134903
9,128,8,2,8,0.5,9000,0.06266901642084122,0.7689166069030762,0.9867057204246521,0.060457903891801834
10,128,8,2,8,0.5,10000,0.06279521435499191,0.7614783048629761,0.9981957674026489,0.06701389700174332
11,128,8,3,8,0.5,0,0.3308876156806946,1.0608313083648682,0.9704912900924683,0.06095905601978302
12,128,8,3,8,0.5,1000,0.06380745768547058,0.6960570216178894,1.01046884059906,0.061801157891750336
13,128,8,3,8,0.5,2000,0.05326211452484131,0.610292911529541,1.0139405727386475,0.06381703168153763
14,128,8,3,8,0.5,3000,0.05249277502298355,0.6071904897689819,0.9887977242469788,0.06227151304483414
15,128,8,3,8,0.5,4000,0.054267771542072296,0.6343775987625122,1.0000196695327759,0.06433933228254318
16,128,8,3,8,0.5,5000,0.05297933146357536,0.6219971776008606,0.9943844079971313,0.06288367509841919
17,128,8,3,8,0.5,6000,0.056488554924726486,0.65640789270401,0.997525691986084,0.06709456443786621
18,128,8,3,8,0.5,7000,0.052183620631694794,0.6406344771385193,1.0121606588363647,0.05664787441492081
19,128,8,3,8,0.5,8000,0.05541957914829254,0.679207444190979,0.9974249601364136,0.05965163931250572
20,128,8,3,8,0.5,9000,0.04812401905655861,0.5681315660476685,0.9961600303649902,0.05736318603157997
21,128,8,3,8,0.5,10000,0.05300651490688324,0.6276107430458069,1.0120989084243774,0.06282512098550797
22,128,8,4,8,0.5,0,0.3038237690925598,0.9255961179733276,0.9560341238975525,0.059145279228687286
23,128,8,4,8,0.5,1000,0.05302843078970909,0.5922718644142151,1.0137999057769775,0.05911513417959213
24,128,8,4,8,0.5,2000,0.04671673849225044,0.5259694457054138,0.9980448484420776,0.06298598647117615
25,128,8,4,8,0.5,3000,0.046067334711551666,0.5303736925125122,0.9959917068481445,0.060045380145311356
26,128,8,4,8,0.5,4000,0.04436991363763809,0.49444323778152466,0.9962480664253235,0.06285866349935532
27,128,8,4,8,0.5,5000,0.04555286467075348,0.5121669769287109,0.9944490790367126,0.06443612277507782
28,128,8,4,8,0.5,6000,0.04413603991270065,0.5010842680931091,0.990328311920166,0.057996466755867004
29,128,8,4,8,0.5,7000,0.045033372938632965,0.5239191055297852,0.9831404089927673,0.06069701164960861
30,128,8,4,8,0.5,8000,0.042798761278390884,0.4865034222602844,1.0080771446228027,0.060358524322509766
31,128,8,4,8,0.5,9000,0.04440126568078995,0.5097602009773254,0.9947270154953003,0.059865184128284454
32,128,8,4,8,0.5,10000,0.043438639491796494,0.5060063004493713,0.9931561350822449,0.05591839551925659
