,do,da,dz,db,chi,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.0,0,1.573570728302002,0.9858221411705017,0.9837437272071838,1.0
1,128,8,2,8,0.0,1000,0.10777347534894943,0.9938844442367554,0.981945812702179,1.0
2,128,8,2,8,0.0,2000,0.060798682272434235,0.9986355304718018,0.9827287793159485,1.0
3,128,8,2,8,0.0,3000,0.058660559356212616,0.9951173067092896,0.9831357598304749,1.0
4,128,8,2,8,0.0,4000,0.05644086375832558,1.008973240852356,0.9876861572265625,1.0
5,128,8,2,8,0.0,5000,0.05286480858922005,1.0012521743774414,0.9828812479972839,1.0
6,128,8,2,8,0.0,6000,0.05017229914665222,1.0002638101577759,0.9849688410758972,1.0
7,128,8,2,8,0.0,7000,0.04871005937457085,0.9898958206176758,0.9844958782196045,1.0
8,128,8,2,8,0.0,8000,0.04830413684248924,0.9924660325050354,0.9865677952766418,1.0
9,128,8,2,8,0.0,9000,0.04818262532353401,0.9981204271316528,0.9845172762870789,1.0
10,128,8,2,8,0.0,10000,0.04782780259847641,0.9931853413581848,0.9838992357254028,1.0
11,128,8,2,8,0.0,11000,0.04857601970434189,1.0056612491607666,0.9853047132492065,1.0
12,128,8,2,8,0.0,12000,0.048177625983953476,0.9944344758987427,0.9852690696716309,1.0
13,128,8,2,8,0.0,13000,0.047746166586875916,0.9934316277503967,0.9869421124458313,1.0
14,128,8,2,8,0.0,14000,0.04803715646266937,0.9877923727035522,0.9838507771492004,1.0
15,128,8,2,8,0.0,15000,0.048472095280885696,1.0010077953338623,0.9848031401634216,1.0
16,128,8,2,8,0.0,16000,0.047869935631752014,0.9920409917831421,0.9842178821563721,1.0
17,128,8,2,8,0.0,17000,0.04777058586478233,0.9905561804771423,0.9854546785354614,1.0
18,128,8,2,8,0.0,18000,0.048242274671792984,0.9951814413070679,0.9850133061408997,1.0
19,128,8,2,8,0.0,19000,0.04840574786067009,1.0018888711929321,0.9844651222229004,1.0
20,128,8,2,8,0.0,20000,0.04818982258439064,0.9978189468383789,0.9835789799690247,1.0
21,128,8,2,8,0.0,21000,0.04805450513958931,0.9929459095001221,0.9836159348487854,1.0
22,128,8,2,8,0.0,22000,0.047731734812259674,0.9920254945755005,0.9848514795303345,1.0
23,128,8,2,8,0.0,23000,0.04816291108727455,0.9957988262176514,0.9831517338752747,1.0
24,128,8,2,8,0.0,24000,0.04848000407218933,0.9989838600158691,0.9859322309494019,1.0
25,128,8,2,8,0.0,25000,0.047957587987184525,0.9922515749931335,0.9848261475563049,1.0
26,128,8,2,8,0.0,26000,0.048450764268636703,1.0004119873046875,0.9854066371917725,1.0
27,128,8,2,8,0.0,27000,0.04792318493127823,0.991532027721405,0.9838331937789917,1.0
28,128,8,2,8,0.0,28000,0.04779447615146637,0.9931071996688843,0.9850062727928162,1.0
