,do,da,dz,db,chi,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0.0,0,1.6280293464660645,0.9037587642669678,0.9861302971839904,1.0
1,128,8,2,8,0.0,1000,0.1059739738702774,0.7507708072662354,0.98604416847229,1.0
2,128,8,2,8,0.0,2000,0.060110680758953,0.7434481978416443,0.985514760017395,1.0
3,128,8,2,8,0.0,3000,0.0592461302876472,0.752530038356781,0.9832567572593688,1.0
4,128,8,2,8,0.0,4000,0.0560357794165611,0.7474937438964844,0.9812709093093872,1.0
5,128,8,2,8,0.0,5000,0.0539398938417434,0.7598721385002136,0.9859133958816528,1.0
6,128,8,2,8,0.0,6000,0.0507717244327068,0.7501881718635559,0.9866265654563904,1.0
7,128,8,2,8,0.0,7000,0.0495187118649482,0.7552555799484253,0.9844126105308532,1.0
8,128,8,2,8,0.0,8000,0.0482703372836113,0.7471082806587219,0.9843931794166564,1.0
9,128,8,2,8,0.0,9000,0.0478988103568553,0.7432723045349121,0.9863053560256958,1.0
10,128,8,2,8,0.0,10000,0.0482876673340797,0.7524964809417725,0.984930455684662,1.0
11,128,8,2,8,0.0,11000,0.0481320358812809,0.7491302490234375,0.984718143939972,1.0
12,128,8,2,8,0.0,12000,0.0477629266679286,0.7463884353637695,0.9851616024971008,1.0
13,128,8,2,8,0.0,13000,0.048657476902008,0.7605047225952148,0.9858588576316832,1.0
14,128,8,2,8,0.0,14000,0.048488114029169,0.7545202374458313,0.9822474718093872,1.0
15,128,8,2,8,0.0,15000,0.0481754764914512,0.7522084712982178,0.9850855469703674,1.0
16,128,8,2,8,0.0,16000,0.0478747449815273,0.7476626634597778,0.9852215051651,1.0
17,128,8,2,8,0.0,17000,0.0485804788768291,0.7579405307769775,0.9851149320602416,1.0
18,128,8,2,8,0.0,18000,0.0476890355348587,0.7431697249412537,0.9847033023834229,1.0
19,128,8,2,8,0.0,19000,0.0482903458178043,0.754615306854248,0.9857999086380004,1.0
20,128,8,2,8,0.0,20000,0.0484950616955757,0.7565996050834656,0.9838769435882568,1.0
21,128,8,2,8,0.0,21000,0.0479976274073123,0.7468430399894714,0.9856137633323668,1.0
22,128,8,2,8,0.0,22000,0.0481395125389099,0.7528321146965027,0.985476553440094,1.0
23,128,8,2,8,0.0,23000,0.0480638593435287,0.7492648959159851,0.983825981616974,1.0
24,128,8,2,8,0.0,24000,0.0479161068797111,0.7469545602798462,0.9838804006576538,1.0
25,128,8,2,8,0.0,25000,0.0479006357491016,0.7492323517799377,0.9857640862464904,1.0
26,128,8,2,8,0.0,26000,0.0482059344649314,0.7543621063232422,0.9835428595542908,1.0
27,128,8,2,8,0.0,27000,0.048284076154232,0.7545050382614136,0.9824479222297668,1.0
28,128,8,2,8,0.0,28000,0.0480197593569755,0.7488266229629517,0.9841936230659484,1.0
29,128,8,2,8,0.0,29000,0.0480016767978668,0.7504172921180725,0.9845564365386964,1.0
30,128,8,2,8,0.0,30000,0.0483357273042202,0.7510433793067932,0.9841058850288392,1.0
31,128,8,2,8,0.0,31000,0.047835674136877,0.7484473586082458,0.9830902218818665,1.0
32,128,8,2,8,0.0,32000,0.0482607670128345,0.7527083158493042,0.9862990379333496,1.0
33,128,8,2,8,0.0,33000,0.0479296259582042,0.748890221118927,0.9872398376464844,1.0
34,128,8,2,8,0.0,34000,0.0480120442807674,0.7486417889595032,0.9838809370994568,1.0
35,128,8,2,8,0.0,35000,0.0483491942286491,0.7555926442146301,0.9840251803398132,1.0
36,128,8,2,8,0.0,36000,0.0481137335300445,0.7515003085136414,0.986685037612915,1.0
37,128,8,2,8,0.0,37000,0.0477663911879062,0.746910810470581,0.9835141897201538,1.0
38,128,8,2,8,0.0,38000,0.048174250870943,0.7529946565628052,0.9849953055381776,1.0
39,128,8,2,8,0.0,39000,0.0478752255439758,0.7490229606628418,0.984189748764038,1.0
40,128,8,2,8,0.0,40000,0.0479032173752784,0.7473386526107788,0.9842286109924316,1.0
41,128,8,3,8,0.0,0,1.602446675300598,0.8722231388092041,0.9764984250068665,1.0
42,128,8,3,8,0.0,1000,0.0930713713169097,0.6319338083267212,0.9767252206802368,1.0
43,128,8,3,8,0.0,2000,0.0547295473515987,0.6269638538360596,0.9763115048408508,1.0
44,128,8,3,8,0.0,3000,0.0493920780718326,0.6178819537162781,0.9752250909805298,1.0
45,128,8,3,8,0.0,4000,0.045910146087408,0.6327720880508423,0.9783908128738404,1.0
46,128,8,3,8,0.0,5000,0.042134091258049,0.6224324703216553,0.9793536067008972,1.0
47,128,8,3,8,0.0,6000,0.0407015793025493,0.6218817234039307,0.9793462157249452,1.0
48,128,8,3,8,0.0,7000,0.0402644425630569,0.6247904300689697,0.9774882793426514,1.0
49,128,8,3,8,0.0,8000,0.0404036864638328,0.6306061744689941,0.9762264490127563,1.0
50,128,8,3,8,0.0,9000,0.0404274016618728,0.6316913962364197,0.9775089621543884,1.0
51,128,8,3,8,0.0,10000,0.0403288565576076,0.6268469095230103,0.9760702252388,1.0
