,do,da,dz,db,chi,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,8,0,0,1.6511915922164917,0.9377444386482239,0.004796316847205162,1.0
1,128,8,2,8,0,1000,0.10815052688121796,0.7487884759902954,0.018734481185674667,1.0
2,128,8,2,8,0,2000,0.06121397763490677,0.7494922876358032,0.746802806854248,1.0
3,128,8,2,8,0,3000,0.05928332358598709,0.7500109076499939,0.9025428891181946,1.0
4,128,8,2,8,0,4000,0.05686623975634575,0.7529535293579102,0.9007601737976074,1.0
5,128,8,2,8,0,5000,0.053622204810380936,0.7572603225708008,0.9043464660644531,1.0
6,128,8,2,8,0,6000,0.05029187351465225,0.7476970553398132,0.9060779213905334,1.0
7,128,8,2,8,0,7000,0.0492309145629406,0.7508448958396912,0.9143543243408203,1.0
8,128,8,2,8,0,8000,0.04811219125986099,0.746934711933136,0.9232863187789917,1.0
9,128,8,2,8,0,9000,0.04826430231332779,0.7513440847396851,0.924164354801178,1.0
10,128,8,2,8,0,10000,0.047584306448698044,0.7403576374053955,0.9263331890106201,1.0
11,128,8,2,8,0,11000,0.048107586801052094,0.7517601847648621,0.9265183806419373,1.0
12,128,8,2,8,0,12000,0.048332761973142624,0.7553234100341797,0.9257456064224243,1.0
13,128,8,2,8,0,13000,0.047774508595466614,0.7477931380271912,0.926161527633667,1.0
14,128,8,2,8,0,14000,0.048250872641801834,0.754729688167572,0.9284614324569702,1.0
15,128,8,2,8,0,15000,0.04811994358897209,0.7513607144355774,0.9272204041481018,1.0
16,128,8,2,8,0,16000,0.04805818945169449,0.7503721714019775,0.9319392442703247,1.0
17,128,8,2,8,0,17000,0.04813627898693085,0.7506561279296875,0.9275027513504028,1.0
18,128,8,2,8,0,18000,0.04828948527574539,0.7554726600646973,0.9271318316459656,1.0
19,128,8,2,8,0,19000,0.047976329922676086,0.7470371127128601,0.9286217093467712,1.0
20,128,8,2,8,0,20000,0.048498306423425674,0.7563236951828003,0.9268678426742554,1.0
21,128,8,2,8,0,21000,0.04824258014559746,0.7531558871269226,0.9270134568214417,1.0
22,128,8,2,8,0,22000,0.04838860034942627,0.7540004253387451,0.9301430583000183,1.0
23,128,8,2,8,0,23000,0.04813658818602562,0.7503768801689148,0.9283132553100586,1.0
24,128,8,2,8,0,24000,0.04796426743268967,0.7478642463684082,0.9295773506164551,1.0
25,128,8,2,8,0,25000,0.04813903197646141,0.7518526911735535,0.9289910197257996,1.0
