,do,da,dz,db,sigma,iter,kappa_coeff,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,128,0.0,40000,0.0,0.04822835326194763,0.9922447204589844,0.9836845993995667,1.0
1,128,8,2,128,0.0,40000,0.01,0.04809517413377762,0.9879944324493408,0.9846485257148743,1.0
2,128,8,2,128,0.0,40000,0.1,0.04834423214197159,0.7559303641319275,0.9999185800552368,1.0
3,128,8,2,128,0.0,40000,0.5,0.048003166913986206,0.7495467066764832,0.9980844855308533,1.0
4,128,8,3,128,0.0,40000,0.0,0.040082912892103195,0.9917033314704895,0.9784400463104248,1.0
5,128,8,3,128,0.0,40000,0.01,0.040445707738399506,0.9848881959915161,0.9803701043128967,1.0
6,128,8,3,128,0.0,40000,0.1,0.040361009538173676,0.6293424963951111,0.9989060759544373,1.0
7,128,8,3,128,0.0,40000,0.5,0.03978947922587395,0.6220790147781372,0.9981672167778015,1.0
8,128,8,4,128,0.0,40000,0.0,0.03249339759349823,0.9911627769470215,0.9694817662239075,1.0
9,128,8,4,128,0.0,40000,0.01,0.03210914134979248,0.9624941349029541,0.9732675552368164,1.0
10,128,8,4,128,0.0,40000,0.1,0.03223138302564621,0.5015166401863098,1.000598430633545,1.0
11,128,8,4,128,0.0,40000,0.5,0.03221883624792099,0.5008659958839417,1.0016286373138428,1.0
12,128,8,5,128,0.0,40000,0.0,0.024318724870681763,0.9779050946235657,0.9629045724868774,1.0
13,128,8,5,128,0.0,40000,0.01,0.02444392442703247,0.9466298818588257,0.964158296585083,1.0
14,128,8,5,128,0.0,40000,0.1,0.02414994314312935,0.37289008498191833,1.0004045963287354,1.0
15,128,8,5,128,0.0,40000,0.5,0.02402990497648716,0.3729775846004486,1.001606822013855,1.0
16,128,8,6,128,0.0,40000,0.0,0.016616124659776688,0.9849475622177124,0.9570708274841309,1.0
17,128,8,6,128,0.0,40000,0.01,0.016392746940255165,0.9057156443595886,0.9572839140892029,1.0
18,128,8,6,128,0.0,40000,0.1,0.016300838440656662,0.25103938579559326,1.000754475593567,1.0
19,128,8,6,128,0.0,40000,0.5,0.01622600480914116,0.25071603059768677,1.0002638101577759,1.0
20,128,8,7,128,0.0,40000,0.0,0.007858104072511196,0.9586365222930908,0.9474314451217651,1.0
21,128,8,7,128,0.0,40000,0.01,0.008165995590388775,0.8128041625022888,0.9564599394798279,1.0
22,128,8,7,128,0.0,40000,0.1,0.008149275556206703,0.12440259009599686,0.9994562268257141,1.0
23,128,8,7,128,0.0,40000,0.5,0.008339470252394676,0.1279112845659256,0.9997298121452332,1.0
24,128,8,8,128,0.0,40000,0.0,2.6062050892505795e-05,0.9488312602043152,0.9426344633102417,1.0
25,128,8,8,128,0.0,40000,0.01,4.8877333028940484e-05,0.3483368456363678,0.9797071218490601,1.0
26,128,8,8,128,0.0,40000,0.1,2.861851498892065e-05,0.00014956183440517634,1.0000126361846924,1.0
27,128,8,8,128,0.0,40000,0.5,2.6589512344799004e-05,9.240971121471375e-05,0.9991812705993652,1.0
28,128,8,9,128,0.0,40000,0.0,5.681715629179962e-05,0.9450482130050659,0.9348151087760925,1.0
29,128,8,9,128,0.0,40000,0.01,3.925543205696158e-05,0.3221590518951416,0.9741837978363037,1.0
30,128,8,9,128,0.0,40000,0.1,2.0812689399463125e-05,0.00021937127166893333,0.9953691363334656,1.0
31,128,8,9,128,0.0,40000,0.5,2.279576801811345e-05,8.359335333807394e-05,1.0013540983200073,1.0
32,128,8,10,128,0.0,40000,0.0,5.640693416353315e-05,0.942435622215271,0.9264665842056274,1.0
33,128,8,10,128,0.0,40000,0.01,4.75319720862899e-05,0.311310350894928,0.9668415188789368,1.0
34,128,8,10,128,0.0,40000,0.1,3.818083860096522e-05,0.00013343541650101542,0.992173433303833,1.0
35,128,8,10,128,0.0,40000,0.5,4.661761340685189e-05,0.0001519256184110418,1.0016099214553833,1.0
36,128,8,11,128,0.0,40000,0.0,6.135940202511847e-05,0.9378779530525208,0.9194781184196472,1.0
37,128,8,11,128,0.0,40000,0.01,4.401707701617852e-05,0.2996618151664734,0.9612004160881042,1.0
38,128,8,11,128,0.0,40000,0.1,3.825368912657723e-05,0.00022220272512640804,0.9926705360412598,1.0
39,128,8,11,128,0.0,40000,0.5,3.4354536182945594e-05,0.00012676394544541836,1.001710295677185,1.0
40,128,8,12,128,0.0,40000,0.0,7.463777728844434e-05,0.9275941252708435,0.9149178862571716,1.0
41,128,8,12,128,0.0,40000,0.01,5.2376388339325786e-05,0.2952725291252136,0.9511228799819946,1.0
42,128,8,12,128,0.0,40000,0.1,3.092879705945961e-05,0.00016892269195523113,0.977828323841095,1.0
43,128,8,12,128,0.0,40000,0.5,3.080837268498726e-05,0.0001241318677784875,0.9932940602302551,1.0
44,128,8,13,128,0.0,40000,0.0,8.224272460211068e-05,0.9289826154708862,0.9035681486129761,1.0
45,128,8,13,128,0.0,40000,0.01,4.5032549678580835e-05,0.28645849227905273,0.9440309405326843,1.0
46,128,8,13,128,0.0,40000,0.1,2.127620973624289e-05,0.00014375618775375187,0.9741434454917908,1.0
47,128,8,13,128,0.0,40000,0.5,3.508353256620467e-05,0.00014485033170785755,1.000489592552185,1.0
48,128,8,14,128,0.0,40000,0.0,8.034150960156694e-05,0.9144045114517212,0.8989009857177734,1.0
49,128,8,14,128,0.0,40000,0.01,5.266291555017233e-05,0.27519285678863525,0.938339352607727,1.0
50,128,8,14,128,0.0,40000,0.1,3.0460849302471615e-05,0.0001340846938546747,0.9700866937637329,1.0
51,128,8,14,128,0.0,40000,0.5,4.8426256398670375e-05,0.00016364971816074103,0.9830383658409119,1.0
52,128,8,15,128,0.0,40000,0.0,7.459380867658183e-05,0.9124735593795776,0.8891841769218445,1.0
53,128,8,15,128,0.0,40000,0.01,5.4074913350632414e-05,0.2560425400733948,0.9313097596168518,1.0
54,128,8,15,128,0.0,40000,0.1,2.788498932204675e-05,0.00013338233111426234,0.9560688734054565,1.0
55,128,8,15,128,0.0,40000,0.5,4.5472203055396676e-05,0.0002173246321035549,0.9918413162231445,1.0
56,128,8,16,128,0.0,40000,0.0,9.05233173398301e-05,0.9029076099395752,0.8822411894798279,1.0
