,do,da,dz,db,chi,iter,recon_loss,act_mse,obs_mse,noi_mse
0,128,8,2,128,0,0,1.5815649032592773,0.8766528367996216,0.9856384992599487,0.0008345589740201831
1,128,8,2,128,0,1000,0.10832712054252625,0.7515103816986084,0.98294997215271,0.0008381448569707572
2,128,8,2,128,0,2000,0.06263690441846848,0.759184718132019,0.9821915030479431,0.0008373947930522263
3,128,8,2,128,0,3000,0.05990667641162872,0.7558729648590088,0.9848656058311462,0.0008389087743125856
4,128,8,2,128,0,4000,0.05658891052007675,0.7515180706977844,0.9848917126655579,0.000838667678181082
5,128,8,2,128,0,5000,0.05365699529647827,0.7485487461090088,0.9836786389350891,0.0008384877000935376
6,128,8,2,128,0,6000,0.05219404771924019,0.7465184926986694,0.983181357383728,0.0008379584178328514
7,128,8,2,128,0,7000,0.05124063789844513,0.7434033155441284,0.9847208261489868,0.0008383946260437369
8,128,8,2,128,0,8000,0.05161575227975845,0.7530196309089661,0.9857306480407715,0.0008386294357478619
9,128,8,2,128,0,9000,0.05160339176654816,0.7549716830253601,0.9839249849319458,0.0008384467801079154
10,128,8,2,128,0,10000,0.050986334681510925,0.7447027564048767,0.9833318591117859,0.000836737162899226
11,128,8,2,128,0,11000,0.0516047365963459,0.7567707896232605,0.9841640591621399,0.0008392614545300603
12,128,8,2,128,0,12000,0.0512130931019783,0.7477604150772095,0.9873161315917969,0.0008376865298487246
13,128,8,2,128,0,13000,0.051566969603300095,0.7559468746185303,0.9847394824028015,0.0008370868745259941
14,128,8,2,128,0,14000,0.05144084617495537,0.7543151378631592,0.9835497140884399,0.0008371639414690435
15,128,8,2,128,0,15000,0.051509205251932144,0.755600094795227,0.9847476482391357,0.0008382510277442634
16,128,8,2,128,0,16000,0.050752751529216766,0.7431480884552002,0.9866960048675537,0.0008383178501389921
17,128,8,2,128,0,17000,0.05155806243419647,0.7544783353805542,0.9871379137039185,0.0008374757599085569
18,128,8,2,128,0,18000,0.05117028206586838,0.7484747171401978,0.9863844513893127,0.0008377545163966715
19,128,8,2,128,0,19000,0.05132510885596275,0.7518322467803955,0.9864835739135742,0.0008395162294618785
20,128,8,2,128,0,20000,0.052223559468984604,0.7659103274345398,0.9843673706054688,0.0008391470764763653
21,128,8,2,128,0,21000,0.05113344267010689,0.7499986886978149,0.9847618937492371,0.0008377418271265924
22,128,8,2,128,0,22000,0.051299236714839935,0.7512410879135132,0.9822829961776733,0.0008390505681745708
23,128,8,2,128,0,23000,0.050919391214847565,0.747185468673706,0.985205888748169,0.0008373928139917552
24,128,8,2,128,0,24000,0.05121263861656189,0.7486220598220825,0.9856460690498352,0.0008374718599952757
